"market_id","market_item_name","market_act","market_price","market_sellprice","shop_relic","owner","market_img","market_expansion"
"92","Sunburst","1","-125","50","no","hero","sunburst.jpg","vanilla"
"93","Steel Broadsword","1","-100","50","no","hero","steelbroadsword.jpg","vanilla"
"94","Sling","1","-75","25","no","hero","sling.jpg","vanilla"
"96","Ring of Power","1","-150","75","no","hero","ringofpower.jpg","vanilla"
"97","Mana Weave","1","-125","50","no","hero","manaweave.jpg","vanilla"
"99","Light Hammer","1","-75","25","no","hero","lighthammer.jpg","vanilla"
"101","Iron Spear","1","-75","25","no","hero","ironspear.jpg","vanilla"
"103","Iron Battleaxe","1","-100","50","no","hero","ironbattleaxe.jpg","vanilla"
"104","Immolation","1","-150","75","no","hero","immolation.jpg","vanilla"
"105","Heavy Cloak","1","-75","25","no","hero","heavycloak.jpg","vanilla"
"106","Elm Greatbow","1","-100","50","no","hero","elmgreatbow.jpg","vanilla"
"107","Crossbow","1","-175","75","no","hero","crossbow.jpg","vanilla"
"108","Chainmail","1","-150","75","no","hero","chainmail.jpg","vanilla"
"109","Belt of Strength","2","-125","50","no","hero","beltofstrength.jpg","The Trollfens"
"110","Blasting Rune","2","-200","100","no","hero","blastingrune.jpg","The Trollfens"
"111","Boomerang","2","-200","100","no","hero","boomerang.jpg","The Trollfens"
"112","Glaive","2","-175","75","no","hero","glaive.jpg","The Trollfens"
"113","Stone Armor","2","-225","100","no","hero","stonearmor.jpg","The Trollfens"
"114","Staff of the Wild","2","-175","75","no","hero","staffofthewild.jpg","Labyrinth of Ruin"
"115","Shroud of Dusk","2","-150","75","no","hero","shroudofdusk.jpg","Labyrinth of Ruin"
"116","Rune of Misery","2","-250","125","no","hero","runeofmisery.jpg","Labyrinth of Ruin"
"117","Rage Blade","2","-200","100","no","hero","rageblade.jpg","Labyrinth of Ruin"
"118","Obsidian Scalemail","2","-275","125","no","hero","obsidianscalemail.jpg","Labyrinth of Ruin"
"119","Obsidian Greataxe","2","-225","100","no","hero","obsidiangreataxe.jpg","Labyrinth of Ruin"
"120","Iron Claws","2","-175","75","no","hero","ironclaws.jpg","Labyrinth of Ruin"
"121","Cloak of Deception","2","-200","100","no","hero","cloakofdeception.jpg","Labyrinth of Ruin"
"122","Bow of the Eclipse","2","-250","125","no","hero","bowoftheeclipse.jpg","Labyrinth of Ruin"
"123","Black Iron Helm","2","-150","75","no","hero","blackironhelm.jpg","Labyrinth of Ruin"
"124","Staff of Kellos","2","-175","75","no","hero","staffofkellos.jpg","Lair of the Wyrm"
"125","Inscribed Robes","2","-225","100","no","hero","inscribedrobes.jpg","Lair of the Wyrm"
"126","Merciful Boots","2","-100","50","no","hero","mercifulboots.jpg","Lair of the Wyrm"
"127","Bow of the Sky","2","-225","100","no","hero","bowofthesky.jpg","Lair of the Wyrm"
"128","Scalemail","2","-225","100","no","hero","scalemail.jpg","Lair of the Wyrm"
"129","Tival Crystal","2","-175","75","no","hero","tivalcrystal.jpg","vanilla"
"130","Steel Greatsword","2","-200","100","no","hero","steelgreatsword.jpg","vanilla"
"131","Platemail","2","-250","125","no","hero","platemail.jpg","vanilla"
"132","Mace of Kellos","2","-175","125","no","hero","maceofkellos.jpg","vanilla"
"133","Lightning Strike","2","-200","100","no","hero","lightningstrike.jpg","vanilla"
"134","Lataria Longbow","2","-200","100","no","hero","latarilongbow.jpg","vanilla"
"135","Iron-Bound Ring","2","-150","75","no","hero","ironboundring.jpg","vanilla"
"136","Ice Storm","2","-150","75","no","hero","icestorm.jpg","vanilla"
"137","Heavy Steel Shield","2","-100","50","no","hero","heavysteelshield.jpg","vanilla"
"138","Grinding Axe","2","-175","75","no","hero","grindingaxe.jpg","vanilla"
"139","Elven Cloak","2","-225","100","no","hero","elvencloak.jpg","vanilla"
"140","Dwarven Firebomb","2","-175","75","no","hero","dwarvenfirebomb.jpg","vanilla"
"141","Dragontooth Hammer","2","-250","125","no","hero","dragontoothhammer.jpg","vanilla"
"142","Demonhide Leather","2","-200","100","no","hero","demonhideleather.jpg","vanilla"
