"dun_id","dun_name","dun_expansion","dun_act","dun_order","dun_type"
"66","The Incident","Shadow of Nerekhall","Act 1","3","Quest"
"67","Rat-Thing King","Shadow of Nerekhall","Act 1","3","Quest"
"68","Respected Citizen","Shadow of Nerekhall","Act 1","3","Quest"
"69","The True Enemy","Shadow of Nerekhall","Interlude 1","4","Quest"
"70","Traitors Among Us","Shadow of Nerekhall","Interlude 2","5","Quest"
"71","Overdue Demise","Shadow of Nerekhall","Act 2","6","Quest"
"72","Into the Dark","Shadow of Nerekhall","Act 2","6","Quest"
"73","Nightmares","Shadow of Nerekhall","Act 2","6","Quest"
"74","Arise My Friends","Shadow of Nerekhall","Act 2","6","Quest"
"75","Wide Spread Panic","Shadow of Nerekhall","Act 2","6","Quest"
"76","Lost","Shadow of Nerekhall","Act 2","6","Quest"
"77","The Black Realm","Shadow of Nerekhall","Finale 1","7","Quest"
"78","The City Falls","Shadow of Nerekhall","Finale 2","8","Quest"
"79","**Starting Gear**","The Trollfens","Starting","1","Pregame"
"80","Ghost Town","The Trollfens","Act 1","2","Quest"
"81","Food for Worms","The Trollfens","Act 1","2","Quest"
"82","Three Heads, One Mind","The Trollfens","Act 1","2","Quest"
"83","Source of Sickness","The Trollfens","Finale 1","3","Quest"
"84","Spreading Affliction","The Trollfens","Finale 2","4","Quest"
"85",,,,"0",
"86",,,,"0",
"87",,,,"0",
"88",,,,"0",
